cik,name,ticker,sic,industry
1750,AAR CORP,['AIR'],3720,"""AIRCRAFT & PARTS"""
1800,ABBOTT LABORATORIES,['ABT'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1961,WORLDS INC,['WDDD'],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
2034,ACETO CORP,[],5122,"""WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"""
2098,ACME UNITED CORP,['ACU'],3420,"""CUTLERY, HANDTOOLS & GENERAL HARDWARE"""
2178,"ADAMS RESOURCES & ENERGY, INC.",['AE'],5172,"""WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)"""
2186,BK Technologies Corp,['BKTI'],3663,"""RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT"""
2488,ADVANCED MICRO DEVICES INC,['AMD'],3674,"""SEMICONDUCTORS & RELATED DEVICES"""
2491,"BALLY TECHNOLOGIES, INC.",[],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
2969,"Air Products & Chemicals, Inc.",['APD'],2810,"""INDUSTRIAL INORGANIC CHEMICALS"""
3116,AKORN INC,[],2834,"""PHARMACEUTICAL PREPARATIONS"""
3146,SPIRE ALABAMA INC,[],4924,"""NATURAL GAS DISTRIBUTION"""
3153,ALABAMA POWER CO,[],4911,"""ELECTRIC SERVICES"""
3197,CECO ENVIRONMENTAL CORP,['CECO'],3564,"""INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP"""
3453,"Matson, Inc.",['MATX'],4400,"""WATER TRANSPORTATION"""
3499,ALEXANDERS INC,['ALX'],6798,"""REAL ESTATE INVESTMENT TRUSTS"""
3545,"ALICO, INC.",['ALCO'],100,"""AGRICULTURAL PRODUCTION-CROPS"""
3570,"Cheniere Energy, Inc.",['LNG'],4924,"""NATURAL GAS DISTRIBUTION"""
4127,"SKYWORKS SOLUTIONS, INC.",['SWKS'],3674,"""SEMICONDUCTORS & RELATED DEVICES"""
4187,"RECYCLING ASSET HOLDINGS, INC.",[],5090,"""WHOLESALE-MISC DURABLE GOODS"""
4281,Howmet Aerospace Inc.,"['HWM', 'HWM-P']",3350,"""ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS"""
4447,HESS CORP,['HES'],2911,"""PETROLEUM REFINING"""
4457,U-Haul Holding Co /NV/,"['UHAL', 'UHAL-B']",7510,"""SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)"""
4515,"AMERICAN AIRLINES, INC.",[],4512,"""AIR TRANSPORTATION, SCHEDULED"""
4904,AMERICAN ELECTRIC POWER CO INC,['AEP'],4911,"""ELECTRIC SERVICES"""
4962,AMERICAN EXPRESS CO,['AXP'],6199,"""FINANCE SERVICES"""
4969,AMERICAN EXPRESS CREDIT CORP,[],6153,"""SHORT-TERM BUSINESS CREDIT INSTITUTIONS"""
4977,AFLAC INC,['AFL'],6321,"""ACCIDENT & HEALTH INSURANCE"""
5133,AMERICAN GREETINGS CORP,[],2771,"""GREETING CARDS"""
5272,"AMERICAN INTERNATIONAL GROUP, INC.",['AIG'],6331,"""FIRE, MARINE & CASUALTY INSURANCE"""
5513,Unum Group,"['UNM', 'UNMA']",6321,"""ACCIDENT & HEALTH INSURANCE"""
5656,AMERICAN INTERNATIONAL VENTURES INC /DE/,[],1040,"""GOLD AND SILVER ORES"""
5768,"AMERICAN SCIENCE & ENGINEERING, INC.",[],3844,"""X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS"""
5981,AMERICAN VANGUARD CORP,['AVD'],2870,"""AGRICULTURAL CHEMICALS"""
6176,AMPCO PITTSBURGH CORP,"['AP', 'AP-WT']",3561,"""PUMPS & PUMPING EQUIPMENT"""
6201,American Airlines Group Inc.,['AAL'],4512,"""AIR TRANSPORTATION, SCHEDULED"""
6207,AMREP CORP.,['AXR'],6552,"""LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES)"""
6281,ANALOG DEVICES INC,['ADI'],3674,"""SEMICONDUCTORS & RELATED DEVICES"""
