securityTitle,issuerCik,issuerName,issuerTradingSymbol,issuerForeignTradingSymbol,rptOwnerCik,rptOwnerName,rptOwnerNonUSAddressFlag,rptOwnerStreet1,rptOwnerStreet2,rptOwnerCity,rptOwnerState,rptOwnerZipCode,rptOwnerStateDescription,isDirector,isOfficer,isTenPercentOwner,isOther,transactionDate,transactionFormType,transactionCode,equitySwapInvolved,transactionShares,transactionPricePerShare,transactionAcquiredDisposedCode,sharesOwnedFollowingTransaction,directOrIndirectOwnership,natureOfOwnership,officerTitle,footnoteId,otherText
Class C Capital Stock,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,,,,,,,,,,,,,
,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,2026-04-15,,,,,,,,,,,,
,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,,4,,,,,,,,,,,
,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,,,S,,,,,,,,,,
,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,,,,false,,,,,,,,,
,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,,,,,105,,,,,,,,
,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,,,,,,330.54,,,,,,,
,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,,,,,,,D,,,,,,
,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,,,,,,,,4526,,,,,
,0001652044,Alphabet Inc.,GOOGL,,0001198046,Hennessy John L.,false,C/O ALPHABET INC.,1600 AMPHITHEATRE PKWY,MOUNTAIN VIEW,CA,94043,,true,false,false,false,,,,,,,,,I,,,,
